2017-01-12	Senior Android Engineer for a Global Consumer Device company	OSI Engineering, Inc.	Mountain View, CA	[\nWill contribute to the R&amp;D team focusing on next generation mobile applications and system software.\xa0Making modifications to Android system software below the Application Java layer to add new functionality to new products.Must Have:5+ years of strong Java programmingExperience in the internals of Android and/or Android NDK in addition to general Android app coding experience.Proven track record of work developing Java code and dealing with Android system softwareUnderstand responsive design and layout for mobile devicesExperience working with R&amp;D groups that create new products from prototype through to mature implementations.Proficient in either native\xa0Android application development.\xa0High bar for quality and passion for building a great user experience\xa0Experience delivering at least one major Android application that is still available on Play StoreExperience with connected/distributed systems sharing data with the cloud desiredExperience with debugging cross-layer and distributed systemsDesired:Experience delivering rapid prototypes.Experience in optimizing code based on initial issue analysisLocation: \xa0Mountain View, CAType: ContractDuration:\xa0 6-12 months\xa0\n]	[]
2017-02-03	Python Developer/Architect	KYLMAR Solutions	King of Prussia, PA	[\nMy client located in King of Prussia area is looking Python Developer to join their team.\xa0 It's great environment; friendly, collaborative and working with lastest technologies.\xa0 In addition to salary, they have excellent benefits and cool place to work.Looking for following skills:3-5 years Python Development including Django and PostgreSQLSolution Design and Development experienceExcellent communication skillsAbility to translate business requirements in technical solutions\xa0** NO SPONSORSHIPS FOR THIS ROLE \n]	[]
2017-02-03	Project Manager II	Fannie Mae	Reston, VA	[\nDescription: THE COMPANY Are you interested in helping solve today's most critical housing challenges? In simplest terms, Fannie Mae serves the people who house America. We work at the heart of housing by providing reliable, affordable mortgage financing in all markets at all times, buying loans that banks and other lenders originate, so they can fund new loans. This gives more people the opportunity to buy, refinance, or rent homes and apartments. Creating these opportunities is what drives the people who work at Fannie Mae. For more information about Fannie Mae, visit  http\\://www.fanniemae.com/progress JOB INFORMATION Under limited supervision, plan, manage, and execute varied software development, customization, or IT systems development projects. Gather information at front end to determine project parameters and specifications, and to budget human, financial and other resources. May provide technical oversight to some staff and track attainment of project milestones. Report on progress and budget expenditures to project owners. KEY JOB FUNCTIONS Meet with application owners, application developers and analysts, coding staff and the like to determine business needs and functionalities desired for new or revised application.  Plan course of projects, including milestones, resources needed in the form of staff hours, budget, use of technology and tools and document in project plan, following established project management methodology.  Track course of project from meetings, conferring with developers, and receiving reports. Update project plan as needed. Document changes to scope or functionalities with change ticket, project plan, or other format.  Assess compliance of development process with accepted methodology and communicate to responsible managers or staff. Document exceptions or deviations as needed. Convene meetings and plan agenda to ensure important issues are aired and resolved.  Report on progress of project, use of staff, $ expenditures, progress on milestones and the like to application owners.  Provide guidance to project staff. May plan, document, manage and evaluate staff performance, or contribute to evaluation by their managers. Qualification:EDUCATION \xa0\xa0Bachelor's Degree or equivalent required\xa0\xa0MINIMUM EXPERIENCE \xa0\xa04+ years of related experience\xa0\xa0SPECIALIZED KNOWLEDGE &amp; SKILLS Leads large, global, virtual multi-(engineering) teams in an Agile methodology to develop custom solutions for complex integration program, affecting mission critical systems.  Develops and refines program deliverables including project plans specifying goals, strategy, staffing, scheduling, identification of risks, contingency plans, and allocation of available resources.  Leads the execution of the tasks as defined in the project plan in order to achieve project goals while managing changes to the project scope, schedule, and costs.  Maintains and develops strong working relationships with Business and Product Owners, company executives and cross-functional stakeholders, communicating frequently regarding program status.  Supports the budget/forecast process and related financial analysis and reporting, including capacity / resource utilization and alignment to financial system.  Motivates and manages the team using appropriate tools and techniques increasing commitment to the program objectives.\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  EMPLOYMENT \xa0As a condition of employment with Fannie Mae, any successful job applicant will be required to pass a pre-employment drug screen and to successfully complete a background investigation, which may also include a credit check for positions in some areas of our business.\xa0\xa0Fannie Mae is an Equal Opportunity Employer. \xa0 Department:  Information Management\n\t\t]	[]
2017-02-04	IT Vendor Relationship Manager	Experis	Milwaukee, WI	[\nExperis leads in the creation and delivery of services that enable our clients to win in the changing world of work. We are the premier vendor for some of the most prestigious companies in the Wisconsin area. We have partnered together with a local Government/State Agency to find an IT Vendor Relationship Manager to join their team in Wisconsin.Title: IT Vendor Relationship ManagerSUMMARY: Manages the outsourcing process for the organization's IT department. Oversees the evaluation and selection of vendors as well as the negotiation of purchase contracts or service level agreements. Handles problems with vendors or products as necessary. May be responsible for budgeting. Requires a bachelor's degree and at least 7 years of experience in the field or a related area. Familiar with a variety of the field's concepts, practices, and procedures. Relies on extensive experience and judgment to plan and accomplish goals. Performs a variety of tasks. Leads and directs the work of others. A wide degree of creativity and latitude is required. Typically reports to a head of a unit/department.DUTIES: Draft, revise and negotiate agency contracts with partners; research and provide related technical assistance to agency staff; collaborate with other County departments and elected bodies to ensure compliance with established contract policy. Collaborate with Corporation Counsel to review, analyze and evaluate applicable statues and ordinances for compliance and/or modification Develop and maintain contract databases, provide fiscal quality assurance monitoring across divisions, lead audit evaluations to ensure compliance, and general contract monitoring reports. Assist in the preparation and presentation of materials for standing committee review. Prepare Requests for Proposals and provide coordination and guidance throughout the process to ensure compliance with County ordinances. Maintain master files on all contracted agencies and partners. Ensure that all required information has been provided by the agency or provided to the agency by the partner.If this sounds like you and you are interested in learning more contact kelsey.faber@experis.com Experis is an Equal Opportunity Employer (EOE/AA) Experis is an Equal Opportunity Employer (EOE/AA)\n\t\t]	[\n\t\t\t\t\t\t\tExperis is the global leader in professional resourcing and project-based workforce solutions. We accelerate organizations' growth by intensely attracting, assessing, and placing specialized expertise in IT, Finance, Engineering, and Healthcare to precisely deliver in-demand talent for mission-critical positions, enhancing the competitiveness of the organizations and people we serve. Visit www.experis.com to learn more.\n\t\t\t\t\t\t]
2017-01-18	IT Governance analyst	Marvel Technologies Inc	lansing, MI	[\nWorks within IT Governance to provide oversight, direction and guidance/consultation for IT policy/process development.Works within the Office of the CTO to provide oversight, direction and guidance/consultation for IT projects from project request submission through project close-out and post-implementation review.\xa0\xa0 As a liaison, works with project teams, agency partners, clients, etc. to ensure project are receiving the appropriate level of executive support and direction.\xa0 Ensures issues are evaluated and resolved, escalates Risk and directs corrective actions in any area where performance falls below objectives.\xa0Ensure projects/programs have adequate executive and strives to enable the success of the projects/programs. Verifies and validates project status reports and communicates key items to IT leadership. Reviews and contributes to project documentation including project initiation documents such as the project charter, budget, schedule, cost benefit analysis, etc. throughout the project lifecycle until the end of the project including the project closeout report. Recommends approval of documents to the appropriate sponsors and executive oversight committees. Attends project review and steering committee meetings for all projects for which he or she is governance liaison.\xa0Acts in a consulting role, supporting the Office of the CTO.\xa0 Attends meetings with or on behalf of the CTO and manages action items and issues logs that require attention.\xa0 Takes on small work requests and tasks for the Office of the CTO.\xa0 Creates progress dashboards and metrics as part of an overall governance support role.\xa0 Recommends process improvements and efficiency steps to overall benefit the department.Assist in the preparation of reports and materials for regularly scheduled project and program portfolio reviews with IT leadership.\xa0\n]	[]
2017-01-31	IOS Dev Manager Full-Time	BayOne Solutions	San Francisco, CA	[\nSummary: We are looking for an iOS Development Manager to help us build awesome iOS apps that integrate with our services platform. The iOS development manager for the Mobile Team will report to the Director of Mobile. The Mobile group is responsible for application architecture, development and innovation of new feature development to support consumer mobile solutions. The ideal candidate will have extensive experience in iOS design and development, with one or more apps in the Apple iTunes AppStore.\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0Position Type: Full Time EmploymentLocation: San Francisco, CASalary : 140000- 180000 Per Annum DOERequired Skills:\xa0IOS, swift, Xcode, Objective-CTravel: Up to 5% travel \u2013 Offices Onshore and Offshore, Conferences \u2013 up to 4x a yr.\xa0What you will be doing?As an\xa0IOS Dev Manager, these are few of the important job duties you will be performing:\u2022 Successfully lead a high-performing software engineering team; participate in code reviews, wireframe designs and proof of concepts\u2022 Coach and develop team members. Help set and fulfill the engineering hiring plan for the team, including sourcing, screening, and interviewing\u2022 Help set team goals and technical direction while ensuring that they align with the goals of the larger organization\u2022 Represent the team in planning, estimation and product meetings, effectively communicating the available features of the iOS platform\u2022 Help implement effective engineering processes and policies that emphasize quality and forward progress\u2022 Work with QA team in analyzing and resolving production issues and defects\u2022 Regular, dependable attendance and punctuality\xa0What you need for this role?\xa0To qualify for\xa0IOS Dev Manager, you will need the following:Bachelor's degree in Computer Science/Engineering or equivalent work experience\u2022 3+ years as a technical lead/Manager with deep understanding of iOS UX and UI design paradigms, and ability to implement and design iOS apps\u2022 5+ years of broad knowledge of Objective-C, XCode, UIKit and Interface Builder\u2022 An Object Oriented philosopher with experience understanding and applying OO design patterns\u2022 Experience working with and tuning high volume mobile applications\u2022 Experience integrating with RESTful API backends\xa0\xa0\xa0Connect with Us:If you think this post is all about you, ping me at\xa0hpurohit@bayonesolutions.com. I will be happy to answer your questions at\xa0(925) 307-7276.\xa0About Us:We are a\xa0business and technology services firm specializing in IT Consulting, Application Development, Systems Integration, Cloud Computing, Data Warehousing and Business Intelligence, and others.\xa0Our portfolio of clients includes Fortune 500 and startups. We believing in matching our Consultants talent and core values with that of our clients resulting in \u2018Happy\u2019 customers.\xa0We provide \xa0equal opportunity to all qualified persons without regard to race, ethnicity, color, religion, gender, age, disability, genetic information, national origin, sexual orientation, gender identity, marital status, veteran/military status or any other basis protected by law.\xa0\xa0Thanks,Himanshu PurohitTechnical RecruiterBayOne Solutions Pleasanton, CA 94588hpurohit@bayonesolutions.comPh:\xa0(925) 307-7276\n]	[]
2017-02-03	Director, eCommerce Architecture & Delivery	Rodan + Fields, LLC	San Francisco, CA	[\nDirector,\xa0eCommerce\xa0Architecture &amp;\xa0Delivery\xa0THE COMPANYRodan\xa0+\xa0Fields\xae\xa0Dermatologists\xa0is a\xa0direct selling skincare company founded by Dr. Katie\xa0Rodan\xa0and Dr. Kathy Fields, world-renowned dermatologists and creators of\xa0Proactiv\xae Solution.\xa0Rodan\xa0+ Fields specializes in marketing clinically-proven skincare products with a unique business model that empowers people to become their own bosses and potentially earn substantial incomes with their growing organizations.\xa0With triple digit growth in revenues and consultants, groundbreaking product introductions and industry recognition,\xa0Rodan\xa0+ Fields is a fun, fast-paced and exciting company in the heart of San Francisco.\xa0POSITION PURPOSEDirector,\xa0eCommerce\xa0Architecture &amp;\xa0Delivery\xa0will be responsible\xa0to\xa0createeCommerce\xa0Platform Roadmap which can support our company\u2019s strategic objectives. This position will drive our global\xa0eCommerce\xa0architecture standards with continuous delivery capability and also will be the lead in enabling \u201cMicro Services\u201d architecture.The ideal candidate will partner with Functional Leaders, Enterprise Architects, Business Relationship Managers (BRM), DevOps Leadership and Engineering Leaders to drive next generation\xa0eCommerce\xa0capabilities for R+F.\xa0DUTIES AND RESPONSIBILITESEstablish\xa0eCommerce\xa0Strategy, Architecture, and Roadmap for Global ExpansionDrive architecture standards that enable next generation GlobaleCommerce\xa0capabilitiesLead continuous delivery of world class\xa0eCommerce\xa0capabilityLead, Mentor and Build strong\xa0eCommerce\xa0Engineering team both internally and externally working with our strategic development partnersDefine &amp; Drive\xa0activation of Micro Services Architecture with measurable outcomesActive\xa0participation\xa0and leadership in \u201cArchitecture Review Board\u201d\xa0(ARB)to make sure we are developing scalable and sustainable capabilitiesPartner\xa0with Infrastructure team\xa0to create an environment that is easily scalable,\xa0automated and simple to integrate with third party servicesWork with our Business Architecture team\xa0in realizing our \u201cMicro Services\u201d visionWork with our DevOps team in realizing our \u201cContinous\xa0Delivery\u201d visionWork with\xa0Business Relationship and Digital\xa0Product Managers in prioritizing engineering deliverablesCollaborate\xa0with R+F Tech leaders, cross functional\xa0teams to integrate across tiers, platforms, and\xa0capabilities\xa0QUALIFICATIONS10+ years of IT or business/industry work experience5+\xa0years of Enterprise Architecture experience through defining standards and best-practices5+\xa0years of\xa0eCommerce\xa0Architectre\xa0&amp; Implementation and DevOps experience5+ years of experience in building, leading engineering teamHands on experience with\xa0eCommerce, CRM,\xa0Web and Mobile applications\xa0preferredExecutive presence and influence \u2013 ability to work with senior leadership and external partnersEnterprise-wide understanding of business processes, systems &amp; dataExperience and passion to work in a fast paced Agile and innovative environmentStrong communication and presentation skillsStrong Leadership skills \u2013 mentoring and developing teams\xa0\n]	[]
2017-01-18	Agile Coach	Huntington Ingalls Industries, Inc.	Newport News, VA	[\nThe IT Division at Newport News Shipbuilding is in the second year of implementing an agile methodology. To continue to grow and mature agile capabilities, we are seeking an experienced agilest who can train and coach new teams, as well as improve the discipline and maturity of the nine existing teams.The Agile Coach will:Enable teams to mature their agile practice through consistent and timely coaching on basic and advanced agile principles and concepts;Work with new agile teams intensely for approximately 3 months to ensure good practices and principals are adopted;Continue to provide support to teams on an on-going basis;Regularly attending team ceremonies for each assigned team;Ensuring team roles are well understood;Providing additional guidance/recommendations for specific team needs (upon request and based on analysis/observation);Leading, at regular intervals, team maturity assessments and utilizing the results to build action plans for improvement;Analyzing industry best practice and bringing awareness to applicable practices within individual teams or through organization level training;Guiding on tool best practices and ensuring adoption;Conduct new team, advanced, and \u201cagile essential\u201d training courses;Performs technical planning, system integration, verification and validation, cost and risk, and supportability and effectiveness analyses for total systems;Ensures the logical and systematic conversion of customer or product requirements into total systems solutions that acknowledge technical, schedule, and cost constraints;Performs functional analysis, timeline analysis, detail trade studies, requirements allocation and interface definition studies to translate customer requirements into hardware and software specifications.\xa0Basic Qualifications2 Years of relevant experience with Bachelor of Science degree; 0 Years with Master\u2019s degreePreferred QualificationsFamiliarity with one or more agile varieties and previous work experience as an agile team member;Experience leading agile transformation at a programmatic and team level;Strong oral communication/ presentation and facilitation skills;Resilience to drive cultural change.\n]	[]
2017-02-01	Devops Engineer (Puppet resource)..	Pro-Tek Consulting	sunnyvale, CA	[\nHi,\xa0\xa0\xa0\xa0Hope you doing good,\xa0Please let me know if you are interested for below mentioned position,Position: Devops Engineer\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0\xa0Location: Dallas, TX\xa0Duration: Direct hire full time permanent\xa0Interview: Immediate\xa01. \xa0 \xa0 \xa0 \xa0Configuration automation using Puppet &amp; Foreman\xa02. \xa0 \xa0 \xa0 \xa0Strong knowledge on Linux and Unix\xa03. \xa0 \xa0 \xa0 \xa0Build and Deployment automation and Continuous integration through Jenkins.\xa04. \xa0 \xa0 \xa0 \xa0Application Build, Deployment &amp; Release to Dev, UAT and production environments (primarily Java based applications)\xa05. \xa0 \xa0 \xa0 \xa0Code retrofit to various environments. Keeping the Production &amp; Test environments in sync.\xa06. \xa0 \xa0 \xa0 \xa0Application server (like Tomcat, Weblogic) maintenance in UAT environments, and setting up new application server for new applications, on request. \xa0 \xa0 \xa0 \xa0\xa07. \xa0 \xa0 \xa0 \xa0Application Version Management in SVN and GIT repositories. \xa0 \xa0 \xa0 \xa0\n]	[]
2017-02-03	Marketing Specialist - VIRTUAL/REMOTE	Visionary Integration Professionals	Reston, VA	[\nMeridian Knowledge Solutions, LLC, is the leading provider of enterprise, web-based learning management software. Meridian\u2019s powerful yet easy-to-use solutions are leveraged by organizations dedicated to building world-class learning enterprises inspired and focused on delivering exceptional results. With over 3 million users worldwide, Meridian offers a flexible, best-of-breed learning management system that gives organizations and users alike a seamless, integrated experience, all while strengthening the bottom line. The company is headquartered in Reston, VA. For additional information about Meridian, visit www.meridianks.com.\xa0  As a Marketing Specialist focused on Demand Generation/Lead Generation marketing you will work to create scalable processes that ensure best practices in lead generation and database management. You will be expected to work internally, as well as with third party vendors, to create and execute a quarterly demand generation calendar of integrated, multi-touch marketing campaigns utilizing webinars, email marketing and digital advertising/paid media. You will also work hand-in-hand with the sales team to manage metrics that clearly demonstrate the impact of marketing on the sales pipeline.  Responsibilities:Manage technical aspects of key marketing systems (Marketo, Salesforce) used to generate, distribute, and report on leads. Establish and maintain scalable processes that ensure best practices in campaign and\xa0lead management \u2013 including metrics and reports on marketing and sales activities, effectiveness, and business impact. Create and maintain a quarterly demand generation calendar of activities. Collaborate and negotiate with third party vendors to secure digital/paid media placements. Analyze marketing and sales data to develop insights and make recommendations on areas for optimization. Monitor and maintain data quality within the marketing database. Additional Responsibilities:Assist with marketing content creation \u2013 including writing of promotional emails, landing pages and blog posts Assist with the planning and execution of trade show and event logistics (shipment of booth displays, materials, giveaways, etc.) - may include traveling to industry events Strong analytical skills and experience with reporting and data analysis. High proficiency in marketing automation systems \u2013 Marketo experience strongly preferred. Past experience with email marketing, lead nurturing, demand generation marketing and digital marketing. Ability to manage multiple projects at the same time in a fast-paced environment. Technically capable, excellent communicator, and a desire to improve processes. Superior writing ability. Detail oriented with a strong commitment to quality. Education: Bachelor\u2019s Degree Required, Marketing, Business or Communications degree preferred Experience: Two to four years relevant business to business marketing experience with an emphasis on lead generation/demand generation, preferably for a services or software company. Must have demonstrated Marketo/marketing operations experience. \xa0 PostingID:  448991 Position:  Marketing Specialist Category:  Business Support FullTime:  Full-Time Shift:  -not applicable- ExperienceLevel:  None LocationName:  Meridian EducationLevel:  Bachelor's Degree OpenDate:  1/30/2017 ExpireDate:  3/1/2017\n\t\t]	[]
